estimator,Mean mse,npm
LMS_2048_0.001,0.11730115759655609,54.77441135655987
NLMS_2048_0.1,0.10076118116267674,49.62337932820833
PNLMS_2048_0.1,0.11152776236742551,49.77236846535765
IPNLMS_2048_0.1,0.11400716523297978,49.66247639845902
covariance_whitening,0.22743695306253525,19.6732638618346
